state,calls
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,1
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,1
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,3
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,3
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,5
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,1
CA,0
CA,0
CA,0
CA,0
CA,3
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,3
CA,0
CA,0
CA,0
CA,0
CA,1
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,7
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,1
CA,0
CA,0
CA,0
CA,0
CA,0
CA,4
CA,0
CA,0
CA,0
CA,0
CA,0
CA,3
CA,0
CA,0
CA,4
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,1
CA,0
CA,0
CA,4
CA,3
CA,0
CA,0
CA,0
CA,0
CA,0
CA,5
CA,0
CA,2
CA,0
CA,0
CA,3
CA,0
CA,0
CA,1
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,1
CA,0
CA,0
CA,0
CA,3
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,2
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,1
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,3
CA,0
CA,0
CA,0
NJ,5
NJ,0
NJ,0
NJ,5
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,1
NJ,0
NJ,0
NJ,0
NJ,0
NJ,2
NJ,0
NJ,0
NJ,0
NJ,1
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,1
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
NJ,4
NJ,0
NJ,0
NJ,0
NJ,0
NJ,0
OR,0
OR,0
OR,0
OR,3
OR,0
OR,0
OR,1
OR,0
OR,0
OR,0
OR,0
OR,5
OR,0
OR,4
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
OR,2
OR,0
OR,0
OR,0
OR,1
OR,0
OR,0
OR,1
OR,0
OR,0
OR,0
OR,0
OR,0
OR,3
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
OR,3
OR,0
OR,0
OR,0
OR,0
OR,0
OR,0
HI,0
HI,3
HI,0
HI,0
HI,0
HI,0
HI,0
HI,0
HI,0
VA,1
VA,0
VA,3
VA,0
VA,0
VA,0
VA,0
VA,0
VA,0
VA,0
VA,0
VA,0
VA,0
VA,0
VA,0
VA,0
VA,0
VA,0
VA,0
VA,0
VA,0
VA,1
VA,0
VA,0
VA,0
VA,1
VA,0
VA,0
VA,0
VA,0
VA,0
VA,0
VA,0
VA,0
VA,0
VA,0
VA,1
VA,0
VA,0
VA,0
VA,0
VA,3
VA,0
VA,0
VA,0
VA,4
VA,0
VA,0
VA,0
FL,3
FL,0
FL,3
FL,0
FL,0
FL,0
FL,3
FL,0
FL,0
FL,2
FL,0
FL,0
FL,0
FL,0
FL,0
FL,1
FL,0
FL,1
FL,3
FL,0
FL,0
FL,1
FL,0
FL,0
FL,0
FL,0
FL,2
FL,0
FL,0
FL,0
FL,2
FL,0
FL,0
FL,0
FL,0
FL,0
FL,3
FL,0
FL,0
FL,0
FL,0
FL,0
FL,0
FL,0
FL,0
FL,0
FL,10
FL,0
FL,0
FL,0
FL,0
FL,4
FL,0
FL,0
FL,3
FL,2
FL,0
FL,0
FL,0
FL,0
FL,0
FL,0
FL,0
FL,1
FL,0
FL,0
FL,0
FL,0
FL,0
FL,3
FL,0
FL,0
FL,0
FL,0
FL,0
FL,3
FL,0
FL,2
FL,0
FL,0
FL,3
FL,0
FL,0
FL,0
FL,0
FL,0
FL,0
FL,0
FL,0
FL,0
FL,0
FL,0
FL,7
FL,1
FL,0
FL,0
FL,0
FL,0
FL,0
FL,0
FL,0
FL,0
FL,1
TN,0
TN,4
TN,0
TN,0
TN,0
TN,0
TN,0
TN,0
TN,0
TN,1
TN,0
TN,0
TN,0
TN,3
TN,0
TN,0
TN,0
TN,0
TN,3
ME,16
ME,0
ME,0
ME,0
ME,0
ME,3
ME,3
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,0
ME,11
ME,2
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,2
WA,0
WA,14
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,1
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,18
WA,1
WA,0
WA,0
WA,0
WA,2
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,3
WA,0
WA,0
WA,0
WA,0
WA,0
WA,4
WA,5
WA,0
WA,0
WA,0
WA,0
WA,1
WA,0
WA,0
WA,0
WA,0
WA,0
WA,1
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
WA,0
